,rank,actor,actor_score
656,657, Jet Li,35
657,658, Chuck Norris,35
658,659, Jean-Claude Van Damme,35
659,660, Sam Rockwell,34
660,661, Takashi Shimura,34
661,662, Richard E. Grant,34
662,663, Leslie Nielsen,34
663,664, Simon Pegg,34
664,665, John Malkovich,34
665,666, Michael Shannon,34
666,667, Martin Sheen,34
667,668, Christopher Guest,34
668,669, Alan Rickman,34
669,670, Jackie Earle Haley,33
670,671, Montgomery Clift,33
671,672, James Spader,33
672,673, Eric Bana,33
673,674, Romain Duris,33
674,675, Robert Shaw,33
675,676, Jacki Weaver,33
676,677, Bérénice Bejo,33
677,678, Hailee Steinfeld,33
678,679, Jennifer Jason Leigh,33
679,680, Kathleen Quinlan,32
680,681, Taraji P. Henson,32
681,682, Amy Ryan,32
682,683, Ruby Dee,32
683,684, Jill Clayburgh,32
684,685, Adriana Barraza,32
685,686, Rinko Kikuchi,32
686,687, Catherine Keener,32
687,688, Charlotte Rampling,32
688,689, Sophie Okonedo,32
689,690, Patricia Clarkson,31
690,691, Shohreh Aghdashloo,31
691,692, Lindsay Lohan,31
692,693, Michelle Trachtenberg,31
693,694, Chloë Sevigny,31
694,695, Lynn Redgrave,31
695,696, Rachel Griffiths,31
696,697, Margot Robbie,31
697,698, Lili Taylor,31
698,699, Robin Weigert,31
699,700, Lake Bell,30
700,701, Claude Rains,30
701,702, Steve Buscemi,30
702,703, John Rhys-Davies,30
703,704, Jean-Louis Trintignant,30
704,705, Joseph Cotten,30
705,706, Barry Pepper,30
706,707, Erich von Stroheim,30
707,708, Patrick Wilson,30
708,709, Christopher Lloyd,30
709,710, Ben Foster,29
710,711, Joel McCrea,29
711,712, Min-sik Choi,29
712,713, Ewan McGregor,29
713,714, Gael García Bernal,29
714,715, Bruno Ganz,29
715,716, Sean Astin,29
716,717, Irrfan Khan,29
717,718, Michael C. Hall,29
718,719, Roy Scheider,29
719,720, Casey Affleck,28
720,721, Gary Busey,28
721,722, Norman Reedus,28
722,723, Jeff Daniels,28
723,724, Stanley Tucci,28
724,725, Kiefer Sutherland,28
725,726, Léa Seydoux,28
726,727, Dakota Johnson,28
727,728, Julie Delpy,28
728,729, Linda Hamilton,28
729,730, Carrie Fisher,27
730,731, Pam Grier,27
731,732, Björk,27
732,733, Emily Browning,27
733,734, Juliette Lewis,27
734,735, Sarah Jessica Parker,27
735,736, Piper Laurie,27
736,737, Miley Cyrus,27
737,738, Lily Tomlin,27
738,739, Anna Friel,27
739,740, Gloria Stuart,26
740,741, Talia Shire,26
741,742, Gal Gadot,26
742,743, Sue Lyon,26
743,744, Olivia Newton-John,26
744,745, Minnie Driver,26
745,746, Teri Garr,26
746,747, Keri Russell,26
747,748, Jean Seberg,26
748,749, Sarah Polley,26
749,750, Kate Capshaw,25
750,751, Josh Brolin,25
751,752, Hal Holbrook,25
752,753, Djimon Hounsou,25
753,754, Matt Dillon,25
754,755, Alan Alda,25
755,756, Thomas Haden Church,25
756,757, Clive Owen,25
757,758, Ken Watanabe,25
758,759, Suraj Sharma,25
759,760, John C. Reilly,24
760,761, Michael Clarke Duncan,24
761,762, Haley Joel Osment,24
762,763, Greg Kinnear,24
763,764, Burt Reynolds,24
764,765, Robert Forster,24
765,766, Jason Schwartzman,24
766,767, William H. Macy,24
767,768, Armin Mueller-Stahl,24
768,769, Tim Roth,24
769,770, James Cromwell,23
770,771, Chazz Palminteri,23
771,772, Gary Sinise,23
772,773, Paul Scofield,23
773,774, Pete Postlethwaite,23
774,775, Mads Mikkelsen,23
775,776, Jada Pinkett Smith,23
776,777, Tatum O'Neal,23
777,778, Anna Faris,23
778,779, Ashley Greene,23
779,780, Famke Janssen,22
780,781, Rosamund Pike,22
781,782, Bonnie Hunt,22
782,783, Leslie Mann,22
783,784, Mindy Kaling,22
784,785, Analeigh Tipton,22
785,786, Thandie Newton,22
786,787, Amanda Peet,22
787,788, Julia Stiles,22
788,789, Maria Bello,22
789,790, Eva Mendes,21
790,791, Emily Blunt,21
791,792, Rose Byrne,21
792,793, Ashley Judd,21
793,794, Emilia Clarke,21
794,795, Christina Applegate,21
795,796, Nia Long,21
796,797, Felicity Jones,21
797,798, Téa Leoni,21
798,799, Alexandra Daddario,21
799,800, Jena Malone,20
800,801, Richard Gere,20
801,802, Nick Frost,20
802,803, Ray Liotta,20
803,804, Chris Rock,20
804,805, Jon Hamm,20
805,806, Neil Patrick Harris,20
806,807, Charlie Sheen,20
807,808, Mark Rylance,20
808,809, Andy Garcia,20
809,810, Michael Lerner,19
810,811, Graham Greene,19
811,812, Bruce Davison,19
812,813, Dan Aykroyd,19
813,814, Danny Aiello,19
814,815, River Phoenix,19
815,816, Dean Stockwell,19
816,817, Billy Crystal,19
817,818, John Goodman,19
818,819, Orlando Bloom,19
819,820, Stellan Skarsgård,18
820,821, Alexander Skarsgård,18
821,822, Mike Myers,18
822,823, Tyrese Gibson,18
823,824, Elijah Wood,18
824,825, Danny DeVito,18
825,826, Lucy Liu,18
826,827, Rebecca Romijn,18
827,828, Michelle Rodriguez,18
828,829, Sarah Michelle Gellar,18
829,830, Beyoncé,17
830,831, Rebecca Hall,17
831,832, Piper Perabo,17
832,833, Courteney Cox,17
833,834, Parker Posey,17
834,835, Paula Patton,17
835,836, Michelle Monaghan,17
836,837, Claire Danes,17
837,838, Ali Larter,17
838,839, Kate Bosworth,17
839,840, Evan Rachel Wood,16
840,841, Mira Sorvino,16
841,842, Ziyi Zhang,16
842,843, Amanda Crew,16
843,844, Amanda Bynes,16
844,845, Lisa Kudrow,16
845,846, Neve Campbell,16
846,847, Ellen DeGeneres,16
847,848, Sofía Vergara,16
848,849, Mandy Moore,16
